"filename", "language", "XML", "C#", "ASP.NET Razor", "JavaScript", "JSON", "PostCSS", "Markdown", "Properties", "JSON with Comments", "comment", "blank", "total"
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\ProyectoCalidadSoftware\v17\DocumentLayout.backup.json", "JSON", 0, 0, 0, 0, 2363, 0, 0, 0, 0, 0, 0, 2363
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\ProyectoCalidadSoftware\v17\DocumentLayout.json", "JSON", 0, 0, 0, 0, 2333, 0, 0, 0, 0, 0, 0, 2333
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\ProyectoCalidadSoftware\v17\ResourceExplorer\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\CapaAccesoDatos.csproj", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\Conexion.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_AntecedenteObstetrico.cs", "C#", 0, 141, 0, 0, 0, 0, 0, 0, 0, 5, 21, 167
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Auditoria.cs", "C#", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 19, 128
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_AyudaDiagnosticaOrden.cs", "C#", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 6, 138
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Bebe.cs", "C#", 0, 163, 0, 0, 0, 0, 0, 0, 0, 2, 21, 186
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Cita.cs", "C#", 0, 138, 0, 0, 0, 0, 0, 0, 0, 3, 14, 155
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ControlPrenatal.cs", "C#", 0, 241, 0, 0, 0, 0, 0, 0, 0, 4, 14, 259
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_ControlPrenatal_AyudaDiagnostica.cs", "C#", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Embarazo.cs", "C#", 0, 146, 0, 0, 0, 0, 0, 0, 0, 6, 23, 175
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_Encuentro.cs", "C#", 0, 155, 0, 0, 0, 0, 0, 0, 0, 2, 11, 168
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_EstadoCita.cs", "C#", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 19, 111
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_FactorRiesgoCat.cs", "C#", 0, 98, 0, 0, 0, 0, 0, 0, 0, 3, 16, 117
"d:\Calidad\ProyectoCalidadSoftware\ProyectoCalidadSoftware\CapaDatos\DA_LiquidoAmniotico.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
